month,region,bu,product_line,segment,metric,actual,plan,prior,currency
2023-01,NA,Growth,Beta,SMB,revenue,2362450.49,2714732.86,,USD
2023-01,NA,Growth,Beta,SMB,gross_margin,1305852.94,1465955.74,,USD
2023-01,NA,Growth,Beta,MidMarket,revenue,2278160.07,2269818.31,,USD
2023-01,NA,Growth,Beta,MidMarket,gross_margin,1212265.87,1225701.89,,USD
2023-01,NA,Growth,Beta,Enterprise,revenue,1430194.82,1357366.43,,USD
2023-01,NA,Growth,Beta,Enterprise,gross_margin,789004.08,732977.87,,USD
2023-01,NA,Growth,Gamma,SMB,revenue,2356904.17,2440349.41,,USD
2023-01,NA,Growth,Gamma,SMB,gross_margin,1201228.49,1220174.7,,USD
2023-01,NA,Growth,Gamma,MidMarket,revenue,1946513.56,2040403.25,,USD
2023-01,NA,Growth,Gamma,MidMarket,gross_margin,976324.39,1020201.63,,USD
2023-01,NA,Growth,Gamma,Enterprise,revenue,1365896.91,1220174.7,,USD
2023-01,NA,Growth,Gamma,Enterprise,gross_margin,695412.6,610087.35,,USD
2023-01,NA,Growth,ServicesPlus,SMB,revenue,746176.91,821933.09,,USD
2023-01,NA,Growth,ServicesPlus,SMB,gross_margin,343317.3,394527.88,,USD
2023-01,NA,Growth,ServicesPlus,MidMarket,revenue,687280.24,687227.39,,USD
2023-01,NA,Growth,ServicesPlus,MidMarket,gross_margin,341945.04,329869.15,,USD
2023-01,NA,Growth,ServicesPlus,Enterprise,revenue,338266.05,410966.54,,USD
2023-01,NA,Growth,ServicesPlus,Enterprise,gross_margin,159746.97,197263.94,,USD
2023-01,NA,Services,Alpha,SMB,revenue,816465.24,893446.33,,USD
2023-01,NA,Services,Alpha,SMB,gross_margin,369424.8,410985.31,,USD
2023-01,NA,Services,Alpha,MidMarket,revenue,745328.04,745136.63,,USD
2023-01,NA,Services,Alpha,MidMarket,gross_margin,360169.02,342762.85,,USD
2023-01,NA,Services,Alpha,Enterprise,revenue,446058.45,444929.09,,USD
2023-01,NA,Services,Alpha,Enterprise,gross_margin,199860.88,204667.38,,USD
2023-01,NA,Services,Beta,SMB,revenue,1865999.01,1878876.23,,USD
2023-01,NA,Services,Beta,SMB,gross_margin,791264.37,807916.78,,USD
2023-01,NA,Services,Beta,MidMarket,revenue,1585571.85,1566987.8,,USD
2023-01,NA,Services,Beta,MidMarket,gross_margin,694006.88,673804.76,,USD
2023-01,NA,Services,Beta,Enterprise,revenue,988225.82,935665.27,,USD
2023-01,NA,Services,Beta,Enterprise,gross_margin,433652.56,402336.07,,USD
2023-01,NA,Services,Gamma,SMB,revenue,1374130.74,1572609.92,,USD
2023-01,NA,Services,Gamma,SMB,gross_margin,510703.45,613317.87,,USD
2023-01,NA,Services,Gamma,MidMarket,revenue,1226795.15,1311560.89,,USD
2023-01,NA,Services,Gamma,MidMarket,gross_margin,480115.93,511508.75,,USD
2023-01,NA,Services,Gamma,Enterprise,revenue,760233.7,783147.11,,USD
2023-01,NA,Services,Gamma,Enterprise,gross_margin,286162.47,305427.37,,USD
2023-01,NA,Services,ServicesPlus,SMB,revenue,1004479.99,976571.77,,USD
2023-01,NA,Services,ServicesPlus,SMB,gross_margin,353179.65,361331.55,,USD
2023-01,NA,Services,ServicesPlus,MidMarket,revenue,886966.71,814463.47,,USD
2023-01,NA,Services,ServicesPlus,MidMarket,gross_margin,326489.42,301351.48,,USD
2023-01,NA,Services,ServicesPlus,Enterprise,revenue,421805.11,486324.9,,USD
2023-01,NA,Services,ServicesPlus,Enterprise,gross_margin,163902.55,179940.21,,USD
2023-01,EMEA,Core,Alpha,SMB,revenue,2433001.37,2090273.55,,EUR
2023-01,EMEA,Core,Alpha,SMB,gross_margin,1670831.6,1463191.48,,USD
2023-01,EMEA,Core,Alpha,MidMarket,revenue,2061547.83,1741894.62,,EUR
2023-01,EMEA,Core,Alpha,MidMarket,gross_margin,1431239.52,1219326.24,,USD
2023-01,EMEA,Core,Alpha,Enterprise,revenue,1087603.35,1039606.95,,EUR
2023-01,EMEA,Core,Alpha,Enterprise,gross_margin,741622.46,727724.86,,USD
2023-01,EMEA,Core,Beta,SMB,revenue,1280213.39,1487650.24,,EUR
2023-01,EMEA,Core,Beta,SMB,gross_margin,824095.58,996725.66,,USD
2023-01,EMEA,Core,Beta,MidMarket,revenue,1106711.26,1239708.53,,EUR
2023-01,EMEA,Core,Beta,MidMarket,gross_margin,711416.64,830604.72,,USD
2023-01,EMEA,Core,Beta,Enterprise,revenue,712024.29,739889.54,,EUR
2023-01,EMEA,Core,Beta,Enterprise,gross_margin,473070.44,495725.99,,USD
2023-01,EMEA,Core,Gamma,SMB,revenue,2664629.64,2433086.25,,EUR
2023-01,EMEA,Core,Gamma,SMB,gross_margin,1651494.64,1532844.34,,USD
2023-01,EMEA,Core,Gamma,MidMarket,revenue,2153561.64,2027571.88,,EUR
2023-01,EMEA,Core,Gamma,MidMarket,gross_margin,1328081.06,1277370.28,,USD
2023-01,EMEA,Core,Gamma,Enterprise,revenue,1318833.37,1210106.39,,EUR
2023-01,EMEA,Core,Gamma,Enterprise,gross_margin,810962.13,762367.03,,USD
2023-01,EMEA,Core,ServicesPlus,SMB,revenue,1321937.57,1379228.69,,EUR
2023-01,EMEA,Core,ServicesPlus,SMB,gross_margin,806427.67,841329.5,,USD
2023-01,EMEA,Core,ServicesPlus,MidMarket,revenue,1083981.49,1149357.25,,EUR
2023-01,EMEA,Core,ServicesPlus,MidMarket,gross_margin,649387.37,701107.92,,USD
2023-01,EMEA,Core,ServicesPlus,Enterprise,revenue,695802.21,685965.59,,EUR
2023-01,EMEA,Core,ServicesPlus,Enterprise,gross_margin,427205.01,418439.01,,USD
2023-01,EMEA,Growth,Alpha,SMB,revenue,1601885.14,1665276.05,,EUR
2023-01,EMEA,Growth,Alpha,SMB,gross_margin,870378.37,949207.35,,USD
2023-01,EMEA,Growth,Alpha,MidMarket,revenue,1480019.09,1392355.81,,EUR
2023-01,EMEA,Growth,Alpha,MidMarket,gross_margin,869854.74,793642.81,,USD
2023-01,EMEA,Growth,Alpha,Enterprise,revenue,919196.99,832638.03,,EUR
2023-01,EMEA,Growth,Alpha,Enterprise,gross_margin,524987.16,474603.67,,USD
2023-01,EMEA,Growth,Beta,SMB,revenue,1054826.8,1052923.21,,EUR
2023-01,EMEA,Growth,Beta,SMB,gross_margin,590179.68,568578.53,,USD
2023-01,EMEA,Growth,Beta,MidMarket,revenue,917319.13,880360.79,,EUR
2023-01,EMEA,Growth,Beta,MidMarket,gross_margin,486639.21,475394.83,,USD
2023-01,EMEA,Growth,Beta,Enterprise,revenue,482597.75,526461.6,,EUR
2023-01,EMEA,Growth,Beta,Enterprise,gross_margin,259500.33,284289.27,,USD
2023-01,EMEA,Growth,Gamma,SMB,revenue,2110289.56,2315815.45,,EUR
2023-01,EMEA,Growth,Gamma,SMB,gross_margin,1097110.54,1157907.73,,USD
2023-01,EMEA,Growth,Gamma,MidMarket,revenue,1754758.75,1936279.03,,EUR
2023-01,EMEA,Growth,Gamma,MidMarket,gross_margin,837251.45,968139.52,,USD
2023-01,EMEA,Growth,Gamma,Enterprise,revenue,1105816.75,1157907.73,,EUR
2023-01,EMEA,Growth,Gamma,Enterprise,gross_margin,536931.44,578953.86,,USD
2023-01,EMEA,Growth,ServicesPlus,SMB,revenue,2146161.59,2029412.86,,EUR
2023-01,EMEA,Growth,ServicesPlus,SMB,gross_margin,1051116.52,974118.17,,USD
2023-01,EMEA,Growth,ServicesPlus,MidMarket,revenue,1803850.19,1696814.64,,EUR
2023-01,EMEA,Growth,ServicesPlus,MidMarket,gross_margin,880314.76,814471.03,,USD
2023-01,EMEA,Growth,ServicesPlus,Enterprise,revenue,1054977.01,1014706.43,,EUR
2023-01,EMEA,Growth,ServicesPlus,Enterprise,gross_margin,525096.71,487059.09,,USD
2023-01,EMEA,Services,Alpha,SMB,revenue,2402106.74,2433009.3,,EUR
2023-01,EMEA,Services,Alpha,SMB,gross_margin,1115963.48,1119184.28,,USD
2023-01,EMEA,Services,Alpha,MidMarket,revenue,1607318.55,2029136.27,,EUR
2023-01,EMEA,Services,Alpha,MidMarket,gross_margin,699047.56,933402.68,,USD
2023-01,EMEA,Services,Alpha,Enterprise,revenue,1137191.5,1211619.09,,EUR
2023-01,EMEA,Services,Alpha,Enterprise,gross_margin,534444.87,557344.78,,USD
2023-01,EMEA,Services,Beta,SMB,revenue,2371443.04,2684756.82,,EUR
2023-01,EMEA,Services,Beta,SMB,gross_margin,970135.51,1154445.43,,USD
2023-01,EMEA,Services,Beta,MidMarket,revenue,2125305.25,2239094.38,,EUR
2023-01,EMEA,Services,Beta,MidMarket,gross_margin,904814.23,962810.58,,USD
2023-01,EMEA,Services,Beta,Enterprise,revenue,1499959.18,1336987.33,,EUR
2023-01,EMEA,Services,Beta,Enterprise,gross_margin,658668.55,574904.55,,USD
2023-01,EMEA,Services,Gamma,SMB,revenue,2473745.98,2366848.37,,EUR
2023-01,EMEA,Services,Gamma,SMB,gross_margin,966746.82,923070.86,,USD
2023-01,EMEA,Services,Gamma,MidMarket,revenue,1973277.79,1973957.88,,EUR
2023-01,EMEA,Services,Gamma,MidMarket,gross_margin,750310.31,769843.57,,USD
2023-01,EMEA,Services,Gamma,Enterprise,revenue,1156334.94,1178671.48,,EUR
2023-01,EMEA,Services,Gamma,Enterprise,gross_margin,427284.46,459681.88,,USD
2023-01,EMEA,Services,ServicesPlus,SMB,revenue,1252341.35,1127189.15,,EUR
2023-01,EMEA,Services,ServicesPlus,SMB,gross_margin,480905.31,417059.99,,USD
2023-01,EMEA,Services,ServicesPlus,MidMarket,revenue,889833.86,940078.77,,EUR
2023-01,EMEA,Services,ServicesPlus,MidMarket,gross_margin,314627.38,347829.14,,USD
2023-01,EMEA,Services,ServicesPlus,Enterprise,revenue,508770.9,561331.14,,EUR
2023-01,EMEA,Services,ServicesPlus,Enterprise,gross_margin,189836.96,207692.52,,USD
2023-01,APAC,Core,Alpha,SMB,revenue,1010415.21,1025056.1,,USD
2023-01,APAC,Core,Alpha,SMB,gross_margin,725906.52,717539.27,,USD
2023-01,APAC,Core,Alpha,MidMarket,revenue,917841.94,854213.41,,USD
2023-01,APAC,Core,Alpha,MidMarket,gross_margin,625383.59,597949.39,,USD
2023-01,APAC,Core,Alpha,Enterprise,revenue,486657.9,509816.26,,USD
2023-01,APAC,Core,Alpha,Enterprise,gross_margin,337187.48,356871.38,,USD
2023-01,APAC,Core,Beta,SMB,revenue,2178926.82,2550890.39,,USD
2023-01,APAC,Core,Beta,SMB,gross_margin,1469632.08,1709096.56,,USD
2023-01,APAC,Core,Beta,MidMarket,revenue,1832677.17,2125742.0,,USD
2023-01,APAC,Core,Beta,MidMarket,gross_margin,1255057.28,1424247.14,,USD
2023-01,APAC,Core,Beta,Enterprise,revenue,1087610.28,1268696.81,,USD
2023-01,APAC,Core,Beta,Enterprise,gross_margin,739255.16,850026.86,,USD
2023-01,APAC,Core,Gamma,SMB,revenue,1351876.86,1304425.52,,USD
2023-01,APAC,Core,Gamma,SMB,gross_margin,869311.11,821788.08,,USD
2023-01,APAC,Core,Gamma,MidMarket,revenue,1187824.15,1087021.27,,USD
2023-01,APAC,Core,Gamma,MidMarket,gross_margin,758479.5,684823.4,,USD
2023-01,APAC,Core,Gamma,Enterprise,revenue,591189.29,648761.9,,USD
2023-01,APAC,Core,Gamma,Enterprise,gross_margin,399526.54,408720.0,,USD
2023-01,APAC,Core,ServicesPlus,SMB,revenue,2885938.38,2429792.7,,USD
2023-01,APAC,Core,ServicesPlus,SMB,gross_margin,1783338.06,1482173.55,,USD
2023-01,APAC,Core,ServicesPlus,MidMarket,revenue,2254217.02,2024827.25,,USD
2023-01,APAC,Core,ServicesPlus,MidMarket,gross_margin,1363703.52,1235144.62,,USD
2023-01,APAC,Core,ServicesPlus,Enterprise,revenue,1354912.45,1208468.33,,USD
2023-01,APAC,Core,ServicesPlus,Enterprise,gross_margin,786127.51,737165.68,,USD
2023-01,APAC,Growth,Alpha,SMB,revenue,1171572.24,1278373.59,,USD
2023-01,APAC,Growth,Alpha,SMB,gross_margin,638247.75,728672.94,,USD
2023-01,APAC,Growth,Alpha,MidMarket,revenue,1072805.39,1068862.36,,USD
2023-01,APAC,Growth,Alpha,MidMarket,gross_margin,631688.52,609251.55,,USD
2023-01,APAC,Growth,Alpha,Enterprise,revenue,654004.34,639186.79,,USD
2023-01,APAC,Growth,Alpha,Enterprise,gross_margin,366317.58,364336.47,,USD
2023-01,APAC,Growth,Beta,SMB,revenue,1849251.91,1771826.24,,USD
2023-01,APAC,Growth,Beta,SMB,gross_margin,958385.94,956786.17,,USD
2023-01,APAC,Growth,Beta,MidMarket,revenue,1495523.7,1481443.61,,USD
2023-01,APAC,Growth,Beta,MidMarket,gross_margin,809882.31,799979.55,,USD
2023-01,APAC,Growth,Beta,Enterprise,revenue,947607.04,885913.12,,USD
2023-01,APAC,Growth,Beta,Enterprise,gross_margin,512476.28,478393.09,,USD
2023-01,APAC,Growth,Gamma,SMB,revenue,2131971.0,2382293.76,,USD
2023-01,APAC,Growth,Gamma,SMB,gross_margin,1103111.24,1191146.88,,USD
2023-01,APAC,Growth,Gamma,MidMarket,revenue,1745304.65,1991862.29,,USD
2023-01,APAC,Growth,Gamma,MidMarket,gross_margin,924884.38,995931.14,,USD
2023-01,APAC,Growth,Gamma,Enterprise,revenue,1106593.77,1191146.88,,USD
2023-01,APAC,Growth,Gamma,Enterprise,gross_margin,563786.72,595573.44,,USD
2023-01,APAC,Growth,ServicesPlus,SMB,revenue,2237539.09,2179779.52,,USD
2023-01,APAC,Growth,ServicesPlus,SMB,gross_margin,1039924.08,1046294.17,,USD
2023-01,APAC,Growth,ServicesPlus,MidMarket,revenue,1771642.44,1822537.88,,USD
2023-01,APAC,Growth,ServicesPlus,MidMarket,gross_margin,847312.83,874818.18,,USD
2023-01,APAC,Growth,ServicesPlus,Enterprise,revenue,1115447.81,1089889.76,,USD
2023-01,APAC,Growth,ServicesPlus,Enterprise,gross_margin,513288.92,523147.08,,USD
2023-01,APAC,Services,Alpha,SMB,revenue,2774151.41,2433081.23,,USD
2023-01,APAC,Services,Alpha,SMB,gross_margin,1330498.67,1119217.37,,USD
2023-01,APAC,Services,Alpha,MidMarket,revenue,1628367.24,2029196.26,,USD
2023-01,APAC,Services,Alpha,MidMarket,gross_margin,746062.97,933430.28,,USD
2023-01,APAC,Services,Alpha,Enterprise,revenue,1347938.15,1211654.91,,USD
2023-01,APAC,Services,Alpha,Enterprise,gross_margin,661354.69,557361.26,,USD
2023-01,APAC,Services,Beta,SMB,revenue,1916972.7,1957418.63,,USD
2023-01,APAC,Services,Beta,SMB,gross_margin,807199.85,841690.01,,USD
2023-01,APAC,Services,Beta,MidMarket,revenue,1601279.38,1632492.38,,USD
2023-01,APAC,Services,Beta,MidMarket,gross_margin,679484.56,701971.72,,USD
2023-01,APAC,Services,Beta,Enterprise,revenue,1164233.45,974778.76,,USD
2023-01,APAC,Services,Beta,Enterprise,gross_margin,514095.54,419154.87,,USD
2023-01,APAC,Services,Gamma,SMB,revenue,1966528.65,2106184.99,,USD
2023-01,APAC,Services,Gamma,SMB,gross_margin,795979.35,821412.15,,USD
2023-01,APAC,Services,Gamma,MidMarket,revenue,1723879.88,1756563.92,,USD
2023-01,APAC,Services,Gamma,MidMarket,gross_margin,676293.76,685059.93,,USD
2023-01,APAC,Services,Gamma,Enterprise,revenue,1091673.53,1048863.21,,USD
2023-01,APAC,Services,Gamma,Enterprise,gross_margin,444805.52,409056.65,,USD
2023-01,APAC,Services,ServicesPlus,SMB,revenue,1954544.28,1881683.49,,USD
2023-01,APAC,Services,ServicesPlus,SMB,gross_margin,704887.8,696222.89,,USD
2023-01,APAC,Services,ServicesPlus,MidMarket,revenue,1649753.58,1569329.07,,USD
2023-01,APAC,Services,ServicesPlus,MidMarket,gross_margin,643162.5,580651.76,,USD
2023-01,APAC,Services,ServicesPlus,Enterprise,revenue,920567.02,937063.27,,USD
2023-01,APAC,Services,ServicesPlus,Enterprise,gross_margin,332969.7,346713.41,,USD
2023-02,NA,Core,Alpha,SMB,revenue,1374799.09,1411349.29,1041954.09,USD
2023-02,NA,Core,Alpha,SMB,gross_margin,974035.52,987944.5,710008.19,USD
2023-02,NA,Core,Alpha,MidMarket,revenue,1228134.42,1176124.41,1077386.41,USD
2023-02,NA,Core,Alpha,MidMarket,gross_margin,830461.55,823287.09,738811.9,USD
2023-02,NA,Core,Alpha,Enterprise,revenue,640239.87,701940.92,571323.1,USD
2023-02,NA,Core,Alpha,Enterprise,gross_margin,461781.41,491358.64,412596.8,USD
2023-02,NA,Core,Beta,SMB,revenue,2279850.2,2109597.69,2102425.68,USD
2023-02,NA,Core,Beta,SMB,gross_margin,1561003.82,1413430.45,1383359.25,USD
2023-02,NA,Core,Beta,MidMarket,revenue,1975699.89,1757998.08,1702929.21,USD
2023-02,NA,Core,Beta,MidMarket,gross_margin,1337232.99,1177858.71,1187325.99,USD
2023-02,NA,Core,Beta,Enterprise,revenue,1113363.29,1049217.9,1030629.58,USD
2023-02,NA,Core,Beta,Enterprise,gross_margin,752417.68,702975.99,673665.64,USD
2023-02,NA,Core,Gamma,SMB,revenue,1156626.77,1106419.12,896034.0,USD
2023-02,NA,Core,Gamma,SMB,gross_margin,726249.62,697044.04,557954.31,USD
2023-02,NA,Core,Gamma,MidMarket,revenue,883124.79,922015.93,887424.82,USD
2023-02,NA,Core,Gamma,MidMarket,gross_margin,558045.06,580870.04,569402.31,USD
2023-02,NA,Core,Gamma,Enterprise,revenue,621723.02,550282.52,495432.42,USD
2023-02,NA,Core,Gamma,Enterprise,gross_margin,394418.28,346677.99,308806.31,USD
2023-02,NA,Core,ServicesPlus,SMB,revenue,986860.76,993924.18,861115.56,USD
2023-02,NA,Core,ServicesPlus,SMB,gross_margin,601197.94,606293.75,537887.7,USD
2023-02,NA,Core,ServicesPlus,MidMarket,revenue,961027.01,828270.15,706800.19,USD
2023-02,NA,Core,ServicesPlus,MidMarket,gross_margin,589836.38,505244.79,425892.91,USD
2023-02,NA,Core,ServicesPlus,Enterprise,revenue,484659.69,494332.66,477584.34,USD
2023-02,NA,Core,ServicesPlus,Enterprise,gross_margin,293464.01,301542.92,280798.26,USD
2023-02,NA,Growth,Alpha,SMB,revenue,1304602.5,1282085.75,1174254.46,USD
2023-02,NA,Growth,Alpha,SMB,gross_margin,739051.71,730788.88,630019.65,USD
2023-02,NA,Growth,Alpha,MidMarket,revenue,1025118.07,1071966.14,1008773.81,USD
2023-02,NA,Growth,Alpha,MidMarket,gross_margin,590307.93,611020.7,583159.41,USD
2023-02,NA,Growth,Alpha,Enterprise,revenue,585479.17,641042.87,554445.32,USD
2023-02,NA,Growth,Alpha,Enterprise,gross_margin,351019.93,365394.44,327908.96,USD
2023-02,NA,Growth,Beta,SMB,revenue,2971109.89,2989312.8,2362450.49,USD
2023-02,NA,Growth,Beta,SMB,gross_margin,1619889.58,1614228.91,1305852.94,USD
2023-02,NA,Growth,Beta,MidMarket,revenue,2368198.09,2499397.65,2278160.07,USD
2023-02,NA,Growth,Beta,MidMarket,gross_margin,1289877.83,1349674.73,1212265.87,USD
2023-02,NA,Growth,Beta,Enterprise,revenue,1420942.5,1494656.4,1430194.82,USD
2023-02,NA,Growth,Beta,Enterprise,gross_margin,762421.04,807114.46,789004.08,USD
2023-02,NA,Growth,Gamma,SMB,revenue,2569432.22,2689854.81,2356904.17,USD
2023-02,NA,Growth,Gamma,SMB,gross_margin,1280978.84,1344927.4,1201228.49,USD
2023-02,NA,Growth,Gamma,MidMarket,revenue,2484414.45,2249017.49,1946513.56,USD
2023-02,NA,Growth,Gamma,MidMarket,gross_margin,1199048.8,1124508.75,976324.39,USD
2023-02,NA,Growth,Gamma,Enterprise,revenue,1492549.77,1344927.4,1365896.91,USD
2023-02,NA,Growth,Gamma,Enterprise,gross_margin,754398.5,672463.7,695412.6,USD
2023-02,NA,Growth,ServicesPlus,SMB,revenue,995323.52,903263.17,746176.91,USD
2023-02,NA,Growth,ServicesPlus,SMB,gross_margin,496648.31,433566.32,343317.3,USD
2023-02,NA,Growth,ServicesPlus,MidMarket,revenue,666653.98,755228.37,687280.24,USD
2023-02,NA,Growth,ServicesPlus,MidMarket,gross_margin,315340.19,362509.62,341945.04,USD
2023-02,NA,Growth,ServicesPlus,Enterprise,revenue,417080.49,451631.58,338266.05,USD
2023-02,NA,Growth,ServicesPlus,Enterprise,gross_margin,200997.43,216783.16,159746.97,USD
2023-02,NA,Services,Alpha,SMB,revenue,1100781.77,977365.07,816465.24,USD
2023-02,NA,Services,Alpha,SMB,gross_margin,544405.95,449587.93,369424.8,USD
2023-02,NA,Services,Alpha,MidMarket,revenue,785879.23,815125.08,745328.04,USD
2023-02,NA,Services,Alpha,MidMarket,gross_margin,364724.03,374957.54,360169.02,USD
2023-02,NA,Services,Alpha,Enterprise,revenue,432013.65,486719.95,446058.45,USD
2023-02,NA,Services,Alpha,Enterprise,gross_margin,193616.76,223891.18,199860.88,USD
2023-02,NA,Services,Beta,SMB,revenue,2018371.48,2058019.54,1865999.01,USD
2023-02,NA,Services,Beta,SMB,gross_margin,887063.32,884948.4,791264.37,USD
2023-02,NA,Services,Beta,MidMarket,revenue,1916874.23,1716393.81,1585571.85,USD
2023-02,NA,Services,Beta,MidMarket,gross_margin,841595.12,738049.34,694006.88,USD
2023-02,NA,Services,Beta,Enterprise,revenue,1085037.62,1024877.2,988225.82,USD
2023-02,NA,Services,Beta,Enterprise,gross_margin,491917.79,440697.2,433652.56,USD
2023-02,NA,Services,Gamma,SMB,revenue,1774999.19,1724268.52,1374130.74,USD
2023-02,NA,Services,Gamma,SMB,gross_margin,684366.71,672464.72,510703.45,USD
2023-02,NA,Services,Gamma,MidMarket,revenue,1333569.68,1438044.56,1226795.15,USD
2023-02,NA,Services,Gamma,MidMarket,gross_margin,515051.2,560837.38,480115.93,USD
2023-02,NA,Services,Gamma,Enterprise,revenue,884906.99,858671.87,760233.7,USD
2023-02,NA,Services,Gamma,Enterprise,gross_margin,328745.63,334882.03,286162.47,USD
2023-02,NA,Services,ServicesPlus,SMB,revenue,1048473.04,1067552.06,1004479.99,USD
2023-02,NA,Services,ServicesPlus,SMB,gross_margin,371992.27,394994.26,353179.65,USD
2023-02,NA,Services,ServicesPlus,MidMarket,revenue,744614.78,890341.28,886966.71,USD
2023-02,NA,Services,ServicesPlus,MidMarket,gross_margin,267576.81,329426.27,326489.42,USD
2023-02,NA,Services,ServicesPlus,Enterprise,revenue,565338.52,531632.35,421805.11,USD
2023-02,NA,Services,ServicesPlus,Enterprise,gross_margin,198749.92,196703.97,163902.55,USD
2023-02,EMEA,Core,Alpha,SMB,revenue,2141394.68,2224043.55,2433001.37,EUR
2023-02,EMEA,Core,Alpha,SMB,gross_margin,1525609.84,1556830.48,1670831.6,USD
2023-02,EMEA,Core,Alpha,MidMarket,revenue,2008790.06,1853369.62,2061547.83,EUR
2023-02,EMEA,Core,Alpha,MidMarket,gross_margin,1371420.71,1297358.74,1431239.52,USD
2023-02,EMEA,Core,Alpha,Enterprise,revenue,996351.91,1106138.06,1087603.35,EUR
2023-02,EMEA,Core,Alpha,Enterprise,gross_margin,689719.18,774296.64,741622.46,USD
2023-02,EMEA,Core,Beta,SMB,revenue,1763600.87,1584907.7,1280213.39,EUR
2023-02,EMEA,Core,Beta,SMB,gross_margin,1201007.46,1061888.16,824095.58,USD
2023-02,EMEA,Core,Beta,MidMarket,revenue,1259440.85,1320756.42,1106711.26,EUR
2023-02,EMEA,Core,Beta,MidMarket,gross_margin,852137.75,884906.8,711416.64,USD
2023-02,EMEA,Core,Beta,Enterprise,revenue,845025.52,788260.97,712024.29,EUR
2023-02,EMEA,Core,Beta,Enterprise,gross_margin,544667.53,528134.85,473070.44,USD
2023-02,EMEA,Core,Gamma,SMB,revenue,2520850.51,2594736.19,2664629.64,EUR
2023-02,EMEA,Core,Gamma,SMB,gross_margin,1547911.46,1634683.8,1651494.64,USD
2023-02,EMEA,Core,Gamma,MidMarket,revenue,2063966.3,2162280.16,2153561.64,EUR
2023-02,EMEA,Core,Gamma,MidMarket,gross_margin,1309689.65,1362236.5,1328081.06,USD
2023-02,EMEA,Core,Gamma,Enterprise,revenue,1179690.83,1290503.71,1318833.37,EUR
2023-02,EMEA,Core,Gamma,Enterprise,gross_margin,755006.44,813017.34,810962.13,USD
2023-02,EMEA,Core,ServicesPlus,SMB,revenue,1431201.23,1466469.39,1321937.57,EUR
2023-02,EMEA,Core,ServicesPlus,SMB,gross_margin,833235.95,894546.32,806427.67,USD
2023-02,EMEA,Core,ServicesPlus,MidMarket,revenue,1299141.78,1222057.82,1083981.49,EUR
2023-02,EMEA,Core,ServicesPlus,MidMarket,gross_margin,798014.43,745455.27,649387.37,USD
2023-02,EMEA,Core,ServicesPlus,Enterprise,revenue,784461.05,729355.14,695802.21,EUR
2023-02,EMEA,Core,ServicesPlus,Enterprise,gross_margin,480435.07,444906.64,427205.01,USD
2023-02,EMEA,Growth,Alpha,SMB,revenue,1736567.31,1779805.14,1601885.14,EUR
2023-02,EMEA,Growth,Alpha,SMB,gross_margin,986127.02,1014488.93,870378.37,USD
